Date,AAPL,GOOG,GS,IBM,T,^GSPC
2010-01-04,208.14,626.75,165.09,123.96,23.16,1132.99
2010-01-05,208.5,623.99,168.01,122.46,23.05,1136.52
2010-01-06,205.18,608.26,166.22,121.66,22.71,1137.14
2010-01-07,204.8,594.1,169.47,121.24,22.46,1141.69
2010-01-08,206.16,602.02,166.27,122.46,22.29,1144.98
2010-01-11,204.34,601.11,163.64,121.18,22.19,1146.98
2010-01-12,202.02,590.48,160.08,122.14,22.18,1136.22
2010-01-13,204.87,587.09,161.27,121.88,21.91,1145.68
2010-01-14,203.68,589.85,160.75,123.82,21.54,1148.46
2010-01-15,200.28,580.0,157.59,123.33,21.21,1136.03
2010-01-19,209.14,587.62,159.16,125.54,21.55,1150.23
2010-01-20,205.92,580.41,160.05,121.9,21.25,1138.04
2010-01-21,202.36,582.98,153.45,120.73,21.12,1116.48
2010-01-22,192.32,550.01,147.01,117.45,20.89,1091.76
2010-01-25,197.5,540.0,147.83,118.03,21.04,1096.78
2010-01-26,200.29,542.42,143.92,117.69,20.84,1092.17
2010-01-27,202.17,542.1,144.51,118.23,21.08,1097.5
2010-01-28,193.82,534.29,146.22,115.81,21.01,1084.53
2010-01-29,186.79,529.94,141.86,114.54,20.86,1073.87
2010-02-01,189.39,533.02,146.06,116.67,20.88,1089.19
2010-02-02,190.48,531.12,149.7,117.48,21.13,1103.32
2010-02-03,193.76,540.82,149.98,117.6,21.04,1097.28
2010-02-04,186.78,526.78,143.73,115.11,20.59,1063.11
2010-02-05,190.1,531.29,147.05,115.6,20.76,1066.19
2010-02-08,188.79,533.47,144.13,114.57,20.55,1056.74
2010-02-09,190.81,536.44,145.45,115.82,20.78,1070.52
2010-02-10,189.76,534.45,146.54,115.45,20.66,1068.13
2010-02-11,193.22,536.4,146.94,116.31,20.72,1078.47
2010-02-12,194.88,533.12,146.83,116.57,20.62,1075.51
2010-02-16,197.82,541.3,150.14,117.72,20.83,1094.87
2010-02-17,196.99,538.21,150.0,118.76,20.89,1099.51
2010-02-18,197.36,543.22,148.54,120.15,20.76,1106.75
2010-02-19,196.13,540.76,148.97,119.57,20.65,1109.17
2010-02-22,194.92,542.8,149.48,119.25,20.58,1108.01
2010-02-23,191.65,535.07,149.47,118.88,20.43,1094.6
2010-02-24,195.15,531.47,151.02,119.94,20.49,1105.24
2010-02-25,196.46,526.43,149.22,119.45,20.38,1102.94
2010-02-26,199.0,526.8,149.47,119.54,20.41,1104.49
2010-03-01,203.25,532.69,149.65,120.86,20.57,1115.71
2010-03-02,203.12,541.06,151.76,119.78,20.47,1118.31
2010-03-03,203.58,545.32,150.78,119.27,20.47,1118.79
2010-03-04,204.93,554.59,156.41,119.12,20.53,1122.97
2010-03-05,212.94,564.21,159.82,119.62,20.56,1138.7
2010-03-08,213.07,562.48,162.37,118.83,20.8,1138.5
2010-03-09,216.9,560.19,161.42,118.02,21.03,1140.45
2010-03-10,218.67,576.45,164.37,118.09,20.99,1145.61
2010-03-11,219.31,581.14,165.88,119.95,21.06,1150.24
2010-03-12,220.38,579.54,167.26,120.27,21.08,1149.99
2010-03-15,217.7,563.18,165.89,120.17,21.21,1150.51
