Date,AAPL,GOOG,GS,IBM,T,^GSPC
2000-01-03,27.06,,77.18,97.13,24.4,1455.22
2000-01-04,24.78,,72.32,93.83,22.97,1399.42
2000-01-05,25.14,,68.93,97.13,23.33,1402.11
2000-01-06,22.96,,71.88,95.45,22.83,1403.45
2000-01-07,24.05,,72.16,95.03,23.03,1441.47
2000-01-10,23.63,,73.74,98.8,23.36,1457.6
2000-01-11,22.42,,74.12,99.64,23.03,1438.56
2000-01-12,21.08,,73.74,100.06,21.82,1432.25
2000-01-13,23.39,,73.85,99.01,21.3,1449.68
2000-01-14,24.28,,74.83,100.16,21.92,1465.15
2000-01-18,25.13,,75.92,96.92,21.47,1455.14
2000-01-19,25.76,,76.53,100.06,21.17,1455.9
2000-01-20,27.44,,75.31,99.64,21.4,1445.57
2000-01-21,26.91,,75.09,101.73,22.44,1441.36
2000-01-24,25.68,,71.64,101.73,21.92,1401.53
2000-01-25,27.13,,73.5,99.74,20.88,1410.03
2000-01-26,26.64,,77.34,97.75,20.88,1404.09
2000-01-27,26.59,,78.0,95.03,20.36,1398.56
2000-01-28,24.56,,76.24,93.41,20.49,1360.16
2000-01-31,25.08,,80.3,93.99,22.38,1394.46
2000-02-01,24.23,,79.97,92.1,22.12,1409.28
2000-02-02,23.89,,79.86,95.03,22.18,1409.12
2000-02-03,24.97,,74.82,98.06,21.92,1424.97
2000-02-04,26.11,,74.22,96.81,21.92,1424.37
2000-02-07,27.57,,75.15,95.55,21.86,1424.24
2000-02-08,27.77,,78.38,99.58,21.95,1441.72
2000-02-09,27.22,,76.02,98.38,22.25,1411.71
2000-02-10,27.44,,75.91,99.84,21.99,1416.83
2000-02-11,26.29,,74.6,96.7,21.11,1387.12
2000-02-14,27.99,,75.8,97.28,21.34,1389.94
2000-02-15,28.77,,75.8,98.17,21.24,1402.05
2000-02-16,27.59,,72.68,97.02,20.39,1387.67
2000-02-17,27.77,,71.97,97.86,20.88,1388.26
2000-02-18,26.89,,70.82,94.3,19.96,1346.09
2000-02-22,27.51,,71.48,93.04,19.05,1352.17
2000-02-23,28.1,,,91.15,18.66,1360.69
2000-02-24,27.85,,78.54,92.62,18.53,1353.43
2000-02-25,26.68,,78.21,90.52,18.5,1333.36
2000-02-28,27.38,,77.12,87.59,19.31,1348.05
2000-02-29,27.71,,81.06,86.12,19.7,1366.42
2000-03-01,31.5,,83.03,84.03,21.92,1379.19
2000-03-02,29.49,,84.35,86.43,23.62,1381.76
2000-03-03,30.94,,89.83,90.52,23.78,1409.17
2000-03-06,30.38,,90.87,86.38,22.64,1391.28
2000-03-07,29.7,,91.91,86.33,21.86,1355.62
2000-03-08,29.49,,89.17,89.06,21.73,1366.7
2000-03-09,29.55,,93.93,90.52,21.69,1401.69
2000-03-10,30.4,,98.37,88.22,21.92,1395.07
2000-03-13,29.32,,96.73,90.26,22.8,1383.62
2000-03-14,27.62,,91.8,91.04,21.99,1359.15
2000-03-15,28.1,,90.76,89.69,22.18,1392.14
2000-03-16,29.38,,90.54,91.36,23.56,1458.47
2000-03-17,30.22,,102.1,92.2,23.88,1464.47
2000-03-20,29.73,,99.41,94.5,23.19,1456.63
2000-03-21,32.62,,103.63,95.13,23.62,1493.87
2000-03-22,34.85,,102.67,95.76,22.61,1500.64
2000-03-23,34.16,,104.29,96.6,22.74,1527.35
2000-03-24,33.53,,106.31,101.1,22.44,1527.46
2000-03-27,33.74,,98.15,106.34,22.54,1523.86
2000-03-28,33.63,,99.25,102.68,22.18,1507.73
2000-03-29,32.86,,100.07,99.74,22.05,1508.52
2000-03-30,30.4,,93.66,102.89,21.73,1487.92
2000-03-31,32.83,,92.24,99.22,21.99,1498.58
2000-04-03,32.22,,92.46,102.26,23.36,1505.97
2000-04-04,30.77,,86.1,101.58,24.01,1494.73
2000-04-05,31.52,,85.39,104.77,24.17,1487.37
2000-04-06,30.26,,92.89,102.89,24.46,1501.34
2000-04-07,31.85,,89.83,103.2,24.34,1516.35
2000-04-10,30.22,,93.83,102.36,24.27,1504.46
2000-04-11,28.87,,91.85,100.05,24.8,1500.59
2000-04-12,26.41,,84.62,95.34,24.67,1467.17
2000-04-13,27.51,,83.47,92.72,24.67,1440.51
2000-04-14,27.04,,72.52,88.01,22.37,1356.56
2000-04-17,29.94,,76.68,93.77,21.98,1401.44
2000-04-18,30.67,,82.16,93.46,21.78,1441.61
2000-04-19,29.28,,80.78,88.01,22.01,1427.47
2000-04-20,28.73,,77.93,87.17,21.62,1434.54
2000-04-24,29.13,,76.23,89.27,22.17,1429.86
2000-04-25,31.02,,85.17,94.3,23.59,1477.44
2000-04-26,29.32,,82.92,92.62,23.09,1460.99
2000-04-27,30.64,,83.53,92.72,22.7,1464.92
2000-04-28,29.99,,81.83,93.46,22.99,1452.43
2000-05-01,30.05,,85.12,93.88,23.42,1468.25
2000-05-02,28.49,,81.61,93.35,22.24,1446.29
2000-05-03,27.81,,79.96,90.62,22.01,1415.1
2000-05-04,26.76,,79.14,90.2,21.55,1409.57
2000-05-05,27.34,,78.86,90.41,22.57,1432.63
2000-05-08,26.62,,76.62,92.1,22.5,1424.17
2000-05-09,25.49,,75.13,91.47,22.2,1412.14
2000-05-10,24.01,,71.46,86.44,23.68,1383.05
2000-05-11,24.85,,70.97,87.65,23.91,1407.81
2000-05-12,26.01,,73.52,87.65,23.53,1420.96
2000-05-15,24.41,,76.4,87.44,24.14,1452.36
