Date,ADS.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,CBK.DE,CON.DE,DAI.DE,DB1.DE,DBK.DE,DPW.DE,DTE.DE,EOAN.DE,FME.DE,FRE.DE,HEI.DE,HEN3.DE,IFX.DE,LHA.DE,LIN.DE,LXS.DE,MRK.DE,MUV2.DE,RWE.DE,SAP.DE,SDF.DE,SIE.DE,TKA.DE,VOW3.DE
2000-07-03,2.7,313.61,9.22,36.53,19.75,19.91,3593.98,17.49,32.06,,61.98,,40.16,1.94,26.22,52.86,60.21,,74.21,22.06,31.75,38.91,30.78,274.91,,32.2,0.9,116.95,10.86,
2000-07-04,2.66,300.43,9.33,37.08,20.63,20.57,3683.61,17.3,32.71,,61.53,,38.44,1.95,27.37,53.49,60.5,,75.84,22.13,32.9,39.51,30.83,259.62,,32.29,0.92,120.39,10.86,
2000-07-05,2.69,304.91,9.22,37.08,20.0,20.67,3794.91,17.49,32.52,,62.59,,39.46,1.95,26.82,53.96,59.52,,73.42,22.72,31.57,39.51,31.34,264.25,,31.38,0.91,120.04,10.84,
2000-07-06,2.69,304.91,9.07,36.42,19.59,22.33,3757.48,17.56,32.06,,61.48,,40.12,1.97,27.8,54.12,59.52,,74.0,23.47,31.78,38.8,31.9,259.46,,30.68,0.91,116.56,10.67,
2000-07-07,2.69,304.91,9.07,36.42,19.59,22.33,3757.48,17.56,32.06,,61.48,,40.12,1.97,27.8,54.12,59.52,,74.0,23.47,32.3,38.8,31.9,259.46,,30.68,0.91,116.56,10.67,
2000-07-10,2.66,300.1,9.04,37.12,20.63,21.28,3841.2,18.49,33.57,,63.89,,42.08,2.05,28.54,54.68,61.47,,75.26,23.74,32.44,39.54,30.83,250.58,,31.1,0.92,120.04,10.58,
2000-07-11,2.57,298.16,9.03,36.95,20.0,22.25,3777.18,18.33,33.24,,63.69,,41.08,2.05,28.27,56.63,61.17,,74.21,23.51,32.81,39.37,31.43,250.12,,31.18,0.91,119.03,10.32,
2000-07-12,2.63,300.71,9.36,38.35,20.32,23.2,3683.61,18.18,33.27,,62.12,,39.8,2.03,27.83,57.89,61.47,,76.51,23.74,33.63,40.85,32.27,248.88,,32.87,0.9,125.25,10.28,
2000-07-13,2.63,300.71,9.36,38.35,20.32,23.2,3683.61,18.18,33.27,,62.12,,39.8,2.03,27.83,57.89,61.47,,76.51,23.74,34.5,40.85,32.27,248.88,,32.87,0.9,125.25,10.28,
2000-07-14,2.53,325.21,9.38,37.52,20.32,22.48,3784.07,18.52,32.78,,65.15,,40.98,2.11,28.25,58.71,63.02,,82.12,23.92,35.16,39.97,31.43,271.98,,35.62,0.9,128.85,10.13,
2000-07-17,2.55,334.73,9.44,38.1,20.68,22.1,3683.61,18.97,32.6,,67.71,,41.66,2.11,27.26,57.48,61.43,,85.69,24.02,34.8,40.59,31.29,269.13,,37.13,0.91,130.07,10.37,
2000-07-18,2.67,334.73,9.51,37.83,21.15,22.52,3589.06,19.41,33.3,,68.05,,41.87,2.15,27.49,56.95,61.74,,82.03,23.65,34.63,40.31,31.52,266.78,,36.0,0.91,128.99,10.66,
2000-07-19,2.7,334.32,9.35,37.94,21.03,22.09,3632.4,19.75,34.61,,66.92,,41.43,2.15,27.21,55.37,62.94,,80.26,23.6,34.93,40.42,31.75,268.4,,35.02,0.9,126.13,10.66,
2000-07-20,2.69,340.28,9.46,38.55,20.68,23.29,3710.2,19.95,34.87,,68.19,,39.23,2.13,26.71,55.53,64.01,,82.02,24.18,35.33,41.07,31.1,274.84,,39.72,0.89,127.92,10.68,
2000-07-21,2.65,335.56,9.44,38.28,20.21,22.83,3703.31,19.95,34.19,,68.08,,37.94,2.1,27.46,54.75,60.5,,79.59,23.91,35.35,40.78,30.74,266.21,,38.57,0.89,125.4,10.66,
